src,dst,time_s,distance_km,year
1,1,0,0.0,2018
1,2,314,4.056,2018
1,3,762,10.129,2018
1,4,246,3.068,2018
1,5,250,2.044,2018
1,6,704,10.15,2018
1,7,502,6.767,2018
1,8,430,6.205,2018
1,9,143,1.639,2018
1,10,778,10.316,2018
1,11,339,3.14,2018
1,12,410,5.248,2018
1,13,441,5.793,2018
1,14,781,11.496,2018
1,15,780,12.316,2018
1,16,637,8.786,2018
1,17,840,10.998,2018
1,18,531,7.201,2018
1,19,179,1.242,2018
1,20,412,5.079,2018
1,21,499,6.369,2018
1,22,449,5.904,2018
1,23,353,4.471,2018
1,24,274,3.551,2018
1,25,873,13.74,2018
1,26,514,7.414,2018
1,27,363,4.962,2018
1,28,577,8.028,2018
1,29,676,9.244,2018
1,30,447,4.928,2018
1,31,297,3.786,2018
1,32,914,14.246,2018
1,33,353,4.679,2018
1,34,361,4.717,2018
1,35,535,7.89,2018
1,36,329,4.261,2018
1,37,295,3.569,2018
1,38,251,3.063,2018
1,39,485,7.284,2018
1,40,476,6.291,2018
1,41,707,9.832,2018
1,42,420,5.361,2018
1,43,581,7.945,2018
1,44,586,7.95,2018
1,45,1975,13.325,2018
1,46,480,6.688,2018
1,47,520,7.241,2018
1,48,774,12.319,2018
1,49,307,3.857,2018
1,50,174,2.176,2018
2,1,449,6.175,2018
2,2,0,0.0,2018
2,3,672,8.711,2018
2,4,434,5.533,2018
2,5,227,2.579,2018
2,6,565,7.906,2018
2,7,217,2.499,2018
2,8,341,4.787,2018
2,9,454,6.162,2018
2,10,689,8.898,2018
2,11,132,1.014,2018
2,12,436,5.474,2018
2,13,252,3.019,2018
2,14,692,10.078,2018
2,15,691,10.898,2018
2,16,498,6.542,2018
2,17,750,9.58,2018
2,18,482,6.184,2018
2,19,461,5.349,2018
2,20,199,2.121,2018
2,21,214,2.101,2018
2,22,190,2.048,2018
2,23,279,3.223,2018
2,24,160,1.612,2018
2,25,783,12.322,2018
2,26,424,5.996,2018
2,27,223,2.84,2018
2,28,528,7.011,2018
2,29,587,7.826,2018
2,30,243,2.835,2018
2,31,91,0.643,2018
2,32,825,12.828,2018
2,33,379,4.905,2018
2,34,348,3.808,2018
2,35,486,6.873,2018
2,36,42,0.349,2018
2,37,248,2.783,2018
2,38,152,1.42,2018
2,39,436,6.267,2018
2,40,249,2.832,2018
2,41,568,7.588,2018
2,42,424,5.22,2018
2,43,320,3.727,2018
2,44,537,6.933,2018
2,45,1836,11.081,2018
2,46,390,5.27,2018
2,47,382,4.997,2018
2,48,684,10.901,2018
2,49,402,5.151,2018
2,50,189,2.433,2018
3,1,733,10.053,2018
3,2,618,7.804,2018
3,3,0,0.0,2018
3,4,705,9.035,2018
3,5,758,9.786,2018
3,6,486,6.043,2018
3,7,785,10.839,2018
3,8,336,3.95,2018
3,9,717,9.664,2018
3,10,90,0.708,2018
3,11,667,8.221,2018
3,12,567,6.745,2018
3,13,882,12.09,2018
3,14,185,1.562,2018
3,15,460,5.399,2018
3,16,418,4.709,2018
3,17,154,1.353,2018
3,18,417,4.371,2018
3,19,724,8.851,2018
3,20,626,7.852,2018
3,21,753,8.996,2018
3,22,697,9.164,2018
3,23,455,5.168,2018
3,24,577,7.299,2018
3,25,553,6.823,2018
3,26,240,2.626,2018
3,27,560,7.239,2018
3,28,508,6.109,2018
3,29,281,2.54,2018
3,30,773,10.042,2018
3,31,600,7.534,2018
3,32,595,7.329,2018
3,33,510,6.176,2018
3,34,429,4.97,2018
3,35,466,5.971,2018
3,36,652,7.539,2018
3,37,532,6.374,2018
3,38,575,7.219,2018
3,39,416,5.365,2018
3,40,780,10.039,2018
3,41,486,5.583,2018
3,42,426,4.604,2018
3,43,702,8.844,2018
3,44,517,6.031,2018
3,45,1757,9.354,2018
3,46,272,2.967,2018
3,47,643,8.292,2018
3,48,454,5.402,2018
3,49,531,6.422,2018
3,50,603,7.57,2018
4,1,261,3.23,2018
4,2,598,7.485,2018
4,3,859,10.248,2018
4,4,0,0.0,2018
4,5,446,5.162,2018
4,6,823,10.841,2018
4,7,733,9.461,2018
4,8,528,6.324,2018
4,9,154,1.336,2018
4,10,876,10.435,2018
4,11,550,6.701,2018
4,12,320,3.378,2018
4,13,672,8.487,2018
4,14,879,11.615,2018
4,15,878,12.435,2018
4,16,756,9.477,2018
4,17,938,11.117,2018
4,18,588,6.426,2018
4,19,385,4.004,2018
4,20,625,7.209,2018
4,21,730,9.063,2018
4,22,705,9.01,2018
4,23,459,4.757,2018
4,24,527,6.167,2018
4,25,971,13.859,2018
4,26,651,7.264,2018
4,27,576,7.092,2018
4,28,632,7.225,2018
4,29,774,9.363,2018
4,30,585,6.976,2018
4,31,567,6.648,2018
4,32,1012,14.365,2018
4,33,311,3.419,2018
4,34,459,4.836,2018
4,35,404,4.647,2018
4,36,622,7.835,2018
4,37,425,4.607,2018
4,38,513,5.991,2018
4,39,441,5.933,2018
4,40,706,8.985,2018
4,41,826,10.523,2018
4,42,481,5.036,2018
4,43,712,8.983,2018
4,44,641,7.147,2018
4,45,2094,14.016,2018
4,46,598,6.609,2018
4,47,651,8.279,2018
4,48,871,12.438,2018
4,49,228,2.511,2018
4,50,403,4.443,2018
5,1,288,3.872,2018
5,2,212,2.599,2018
5,3,825,10.962,2018
5,4,456,6.183,2018
5,5,0,0.0,2018
5,6,718,10.158,2018
5,7,346,4.575,2018
5,8,494,7.038,2018
5,9,353,4.754,2018
5,10,842,11.149,2018
5,11,164,1.815,2018
5,12,589,7.725,2018
5,13,285,3.601,2018
5,14,845,12.329,2018
5,15,844,13.149,2018
5,16,651,8.794,2018
5,17,903,11.831,2018
5,18,635,8.435,2018
5,19,412,4.646,2018
5,20,328,4.197,2018
5,21,343,4.177,2018
5,22,319,4.124,2018
5,23,433,5.474,2018
5,24,274,3.194,2018
5,25,937,14.573,2018
5,26,577,8.247,2018
5,27,376,5.091,2018
5,28,681,9.262,2018
5,29,740,10.077,2018
5,30,199,2.09,2018
5,31,255,3.231,2018
5,32,978,15.079,2018
5,33,532,7.156,2018
5,34,501,6.059,2018
5,35,639,9.124,2018
5,36,235,2.949,2018
5,37,401,5.034,2018
5,38,253,3.018,2018
5,39,589,8.518,2018
5,40,320,4.099,2018
5,41,721,9.84,2018
5,42,577,7.471,2018
5,43,449,5.803,2018
5,44,690,9.184,2018
5,45,1989,13.333,2018
5,46,544,7.521,2018
5,47,435,5.636,2018
5,48,837,13.152,2018
5,49,555,7.402,2018
5,50,286,2.817,2018
6,1,752,11.028,2018
6,2,443,6.475,2018
6,3,434,5.516,2018
6,4,724,10.01,2018
6,5,580,8.38,2018
6,6,0,0.0,2018
6,7,422,6.71,2018
6,8,339,4.838,2018
6,9,736,10.639,2018
6,10,450,5.703,2018
6,11,508,7.071,2018
6,12,586,7.72,2018
6,13,518,7.961,2018
6,14,495,6.164,2018
6,15,375,6.865,2018
6,16,122,1.768,2018
6,17,512,6.385,2018
6,18,425,5.895,2018
6,19,743,9.826,2018
6,20,396,5.73,2018
6,21,393,5.56,2018
6,22,333,5.035,2018
6,23,470,6.115,2018
6,24,505,7.185,2018
6,25,389,7.133,2018
6,26,245,4.15,2018
6,27,377,5.488,2018
6,28,527,7.084,2018
6,29,276,3.608,2018
6,30,634,9.211,2018
6,31,504,6.656,2018
6,32,431,7.639,2018
6,33,529,7.151,2018
6,34,448,5.945,2018
6,35,485,6.946,2018
6,36,427,6.124,2018
6,37,551,7.337,2018
6,38,503,7.105,2018
6,39,435,6.34,2018
6,40,574,8.524,2018
6,41,185,2.67,2018
6,42,445,5.579,2018
6,43,338,4.716,2018
6,44,536,7.006,2018
6,45,1390,5.029,2018
6,46,311,5.055,2018
6,47,456,6.544,2018
6,48,370,6.868,2018
6,49,550,7.397,2018
6,50,524,7.456,2018
7,1,558,8.085,2018
7,2,200,2.584,2018
7,3,748,10.036,2018
7,4,551,7.545,2018
7,5,336,4.489,2018
7,6,441,6.85,2018
7,7,0,0.0,2018
7,8,417,6.112,2018
7,9,571,8.174,2018
7,10,765,10.223,2018
7,11,264,3.18,2018
7,12,562,7.486,2018
7,13,96,1.251,2018
7,14,768,11.401,2018
7,15,648,10.471,2018
7,16,534,7.305,2018
7,17,827,10.905,2018
7,18,559,7.531,2018
7,19,578,7.361,2018
7,20,213,2.76,2018
7,21,102,1.119,2018
7,22,139,1.559,2018
7,23,405,5.235,2018
7,24,302,3.848,2018
7,25,662,10.739,2018
7,26,500,7.321,2018
7,27,252,3.564,2018
7,28,605,8.358,2018
7,29,663,9.151,2018
7,30,204,2.423,2018
7,31,243,3.216,2018
7,32,703,11.245,2018
7,33,505,6.917,2018
7,34,474,5.82,2018
7,35,562,8.22,2018
7,36,184,2.233,2018
7,37,365,4.795,2018
7,38,293,3.656,2018
7,39,512,7.614,2018
7,40,152,1.814,2018
7,41,462,6.563,2018
7,42,522,6.853,2018
7,43,291,4.076,2018
7,44,614,8.28,2018
7,45,1673,8.849,2018
7,46,467,6.595,2018
7,47,320,4.199,2018
7,48,642,10.474,2018
7,49,528,7.163,2018
7,50,326,4.669,2018
8,1,511,7.589,2018
8,2,397,5.34,2018
8,3,331,3.924,2018
8,4,457,5.763,2018
8,5,536,7.322,2018
8,6,295,4.517,2018
8,7,594,9.177,2018
8,8,0,0.0,2018
8,9,496,7.2,2018
8,10,348,4.111,2018
8,11,446,5.757,2018
8,12,346,4.281,2018
8,13,691,10.428,2018
8,14,350,5.291,2018
8,15,350,6.113,2018
8,16,227,3.153,2018
8,17,409,4.793,2018
8,18,193,1.783,2018
8,19,503,6.387,2018
8,20,406,5.256,2018
8,21,544,6.992,2018
8,22,505,7.502,2018
8,23,233,2.704,2018
8,24,356,4.835,2018
8,25,442,7.537,2018
8,26,83,1.209,2018
8,27,340,4.643,2018
8,28,287,3.645,2018
8,29,246,3.039,2018
8,30,552,7.578,2018
8,31,379,5.07,2018
8,32,484,8.043,2018
8,33,289,3.712,2018
8,34,208,2.506,2018
8,35,244,3.507,2018
8,36,430,5.075,2018
8,37,310,3.91,2018
8,38,354,4.755,2018
8,39,194,2.901,2018
8,40,558,7.575,2018
8,41,297,4.199,2018
8,42,204,2.14,2018
8,43,484,6.401,2018
8,44,296,3.567,2018
8,45,1566,7.692,2018
8,46,51,0.503,2018
8,47,423,5.697,2018
8,48,343,6.116,2018
8,49,309,3.958,2018
8,50,382,5.106,2018
9,1,160,1.892,2018
9,2,536,7.046,2018
9,3,866,11.551,2018
9,4,137,1.347,2018
9,5,385,4.723,2018
9,6,808,11.574,2018
9,7,671,9.022,2018
9,8,535,7.629,2018
9,9,0,0.0,2018
9,10,882,11.738,2018
9,11,489,6.262,2018
9,12,440,4.617,2018
9,13,610,8.048,2018
9,14,885,12.918,2018
9,15,884,13.74,2018
9,16,741,10.21,2018
9,17,944,12.42,2018
9,18,636,8.625,2018
9,19,284,2.666,2018
9,20,531,6.785,2018
9,21,668,8.624,2018
9,22,644,8.571,2018
9,23,457,5.895,2018
9,24,426,4.831,2018
9,25,977,15.164,2018
9,26,618,8.838,2018
9,27,482,6.668,2018
9,28,682,9.452,2018
9,29,780,10.666,2018
9,30,524,6.537,2018
9,31,466,5.312,2018
9,32,1019,15.67,2018
9,33,430,4.658,2018
9,34,466,6.141,2018
9,35,523,5.886,2018
9,36,560,7.396,2018
9,37,399,4.993,2018
9,38,413,4.655,2018
9,39,560,7.172,2018
9,40,656,7.801,2018
9,41,811,11.256,2018
9,42,599,6.168,2018
9,43,686,9.369,2018
9,44,691,9.374,2018
9,45,2079,14.749,2018
9,46,584,8.112,2018
9,47,625,8.665,2018
9,48,878,13.743,2018
9,49,347,3.75,2018
9,50,293,3.882,2018
10,1,748,10.24,2018
10,2,633,7.991,2018
10,3,85,0.708,2018
10,4,721,9.222,2018
10,5,773,9.973,2018
10,6,501,6.23,2018
10,7,800,11.026,2018
10,8,351,4.137,2018
10,9,733,9.851,2018
10,10,0,0.0,2018
10,11,682,8.408,2018
10,12,582,6.932,2018
10,13,897,12.277,2018
10,14,152,1.463,2018
10,15,428,5.3,2018
10,16,433,4.896,2018
10,17,139,1.128,2018
10,18,432,4.558,2018
10,19,739,9.038,2018
10,20,641,8.039,2018
10,21,768,9.183,2018
10,22,712,9.351,2018
10,23,470,5.355,2018
10,24,592,7.486,2018
10,25,521,6.724,2018
10,26,256,2.813,2018
10,27,575,7.426,2018
10,28,523,6.296,2018
10,29,296,2.727,2018
10,30,788,10.229,2018
10,31,615,7.721,2018
10,32,562,7.23,2018
10,33,525,6.363,2018
10,34,444,5.157,2018
10,35,481,6.158,2018
10,36,667,7.726,2018
10,37,547,6.561,2018
10,38,591,7.406,2018
10,39,431,5.552,2018
10,40,795,10.226,2018
10,41,501,5.77,2018
10,42,441,4.791,2018
10,43,717,9.031,2018
10,44,532,6.218,2018
10,45,1772,9.541,2018
10,46,287,3.154,2018
10,47,658,8.479,2018
10,48,421,5.303,2018
10,49,546,6.609,2018
10,50,618,7.757,2018
11,1,262,2.643,2018
11,2,168,1.549,2018
11,3,761,9.637,2018
11,4,389,4.392,2018
11,5,208,1.768,2018
11,6,654,8.832,2018
11,7,349,3.924,2018
11,8,430,5.713,2018
