src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
1,1,0,0.0,2018,0,0.0,0,0.0,,
1,2,886,10.691,2018,964,11.625,78,0.9339999999999993,8.803611738148984,8.736320269385457
1,3,988,12.43,2018,1017,12.571,29,0.14100000000000001,2.935222672064777,1.1343523732904264
1,4,856,9.927,2018,891,10.856,35,0.9290000000000003,4.0887850467289715,9.358315704643903
1,5,682,7.981,2018,808,9.951,126,1.9700000000000006,18.475073313782993,24.683623606064412
1,6,1045,12.571,2018,1031,12.977,-14,0.4060000000000006,-1.3397129186602872,3.2296555564394285
1,7,1068,13.299,2018,1127,14.069,59,0.7700000000000014,5.52434456928839,5.789909015715478
1,8,865,10.977,2018,905,11.525,40,0.548,4.624277456647398,4.9922565363942795
1,9,841,10.122,2018,907,11.126,66,1.0039999999999996,7.8478002378121285,9.918988342224852
1,10,1012,13.017,2018,1085,13.882,73,0.8650000000000002,7.213438735177865,6.6451563340247395
1,11,665,7.905,2018,757,8.816,92,0.9110000000000005,13.834586466165414,11.524351676154339
1,12,752,8.662,2018,864,10.522,112,1.8599999999999994,14.893617021276595,21.47310090048487
1,13,921,11.114,2018,947,12.014,26,0.8999999999999986,2.823018458197611,8.097894547417658
1,14,182,1.665,2018,690,6.618,508,4.953,279.1208791208791,297.4774774774775
1,15,952,11.747,2018,1015,12.852,63,1.1050000000000004,6.61764705882353,9.406657018813318
1,16,692,7.837,2018,821,10.107,129,2.2699999999999996,18.641618497109828,28.965165241801706
1,17,685,7.855,2018,797,9.873,112,2.017999999999999,16.35036496350365,25.690642902609788
1,18,836,10.191,2018,880,10.782,44,0.5909999999999993,5.263157894736842,5.79923461878127
1,19,1185,14.493,2018,1210,14.845,25,0.3520000000000003,2.109704641350211,2.4287587111019135
1,20,826,10.033,2018,923,11.097,97,1.064,11.743341404358354,10.605003488487991
1,21,1042,12.51,2018,1094,13.361,52,0.8510000000000009,4.990403071017274,6.8025579536370975
1,22,20,0.183,2018,20,0.183,0,0.0,0.0,0.0
1,23,919,11.847,2018,973,12.045,54,0.1980000000000004,5.8759521218716,1.6713091922005607
1,24,1083,15.015,2018,988,15.307,-95,0.2919999999999998,-8.771929824561402,1.9447219447219433
1,25,931,11.342,2018,1008,12.226,77,0.8840000000000003,8.270676691729323,7.794039851877978
1,26,910,10.524,2018,909,11.406,-1,0.8820000000000014,-0.10989010989010989,8.380843785632853
1,27,1042,12.766,2018,1069,13.476,27,0.7100000000000009,2.5911708253358925,5.561648127839581
1,28,1564,22.033,2018,1146,15.349,-418,-6.684000000000001,-26.726342710997443,-30.336313711251307
1,29,29,0.269,2018,31,0.287,2,0.01799999999999996,6.896551724137931,6.691449814126379
1,30,883,11.225,2018,932,11.844,49,0.6189999999999998,5.549263873159683,5.51447661469933
