src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
1,1,0,0.0,2018,0,0.0,0,0.0,,
1,2,1722,28.843,2018,1792,29.127,70,0.2839999999999989,4.0650406504065035,0.9846409874146203
1,3,742,11.338,2018,1153,10.226,411,-1.1119999999999983,55.39083557951483,-9.807726230375714
1,4,1813,30.527,2018,2018,31.71,205,1.1829999999999998,11.30722559293988,3.8752579683558808
1,5,892,16.107,2018,1110,15.9,218,-0.20699999999999896,24.43946188340807,-1.2851555224436517
1,6,1821,29.009,2018,2590,35.552,769,6.542999999999999,42.22954420647996,22.55506911648109
1,7,1547,27.802,2018,1836,27.685,289,-0.11700000000000088,18.681318681318682,-0.4208330335947086
1,8,1700,27.631,2018,1957,30.893,257,3.2620000000000005,15.11764705882353,11.805580688357281
1,9,1692,28.403,2018,1786,28.432,94,0.028999999999999915,5.555555555555555,0.10210189064535408
1,10,1596,27.626,2018,1809,27.554,213,-0.07200000000000273,13.345864661654137,-0.2606240498081616
1,11,1750,29.713,2018,1891,28.107,141,-1.6060000000000016,8.057142857142857,-5.405041564298461
1,12,1109,19.576,2018,1302,19.651,193,0.07499999999999929,17.40306582506763,0.3831221904372665
1,13,1190,20.953,2018,1350,18.15,160,-2.803000000000001,13.445378151260504,-13.37755929938434
1,14,1822,28.277,2018,2019,34.186,197,5.908999999999999,10.812294182217345,20.896841956360287
1,15,2123,34.105,2018,2373,36.466,250,2.361000000000004,11.775788977861517,6.922738601378111
1,16,2059,33.658,2018,2467,39.62,408,5.961999999999996,19.815444390480817,17.713470794461927
1,17,1978,34.251,2018,2208,35.213,230,0.9620000000000033,11.627906976744185,2.808677118916246
1,18,1807,30.813,2018,2068,30.665,261,-0.1479999999999997,14.443829551743221,-0.4803167494239435
1,19,1136,16.932,2018,1231,17.986,95,1.054000000000002,8.362676056338028,6.224899598393587
1,20,1262,20.211,2018,1474,20.264,212,0.053000000000000824,16.798732171156892,0.26223343723715214
1,21,1546,25.299,2018,2093,30.394,547,5.094999999999999,35.38163001293661,20.139135934226644
1,22,855,12.957,2018,989,13.947,134,0.9899999999999984,15.67251461988304,7.64065755962027
1,23,3046,46.067,2018,2742,43.079,-304,-2.9879999999999995,-9.980302035456337,-6.486204875507412
1,24,1273,21.927,2018,1311,17.576,38,-4.350999999999999,2.9850746268656714,-19.843115793314176
1,25,1817,31.847,2018,2348,35.605,531,3.7579999999999956,29.223995597138142,11.800169560712142
1,26,1533,26.805,2018,1915,28.875,382,2.0700000000000003,24.91846053489889,7.722439843312816
1,27,1862,32.603,2018,2064,32.295,202,-0.30799999999999983,10.848549946294307,-0.9446983406434986
1,28,2378,39.27,2018,2653,44.785,275,5.5149999999999935,11.564339781328847,14.043799337916967
1,29,3879,54.239,2018,4616,57.205,737,2.966000000000001,18.999742201598348,5.46838990394366
1,30,1492,25.223,2018,1767,26.722,275,1.4990000000000023,18.43163538873995,5.942988542203554
1,31,1028,15.075,2018,1192,16.655,164,1.5800000000000018,15.953307392996107,10.480928689883926
1,32,852,10.961,2018,959,12.202,107,1.2409999999999997,12.55868544600939,11.321959675212112
1,33,2508,41.507,2018,2412,40.125,-96,-1.381999999999998,-3.827751196172249,-3.3295588695882574
1,34,444,5.648,2018,606,7.165,162,1.5170000000000003,36.486486486486484,26.85906515580737
1,35,1322,22.732,2018,1429,22.868,107,0.13599999999999923,8.093797276853252,0.5982755586837905
1,36,1432,23.649,2018,1566,23.839,134,0.18999999999999773,9.35754189944134,0.8034166349528424
1,37,2788,43.322,2018,2776,46.836,-12,3.513999999999996,-0.430416068866571,8.111352199806094
1,38,4044,52.639,2018,4665,76.578,621,23.939,15.356083086053413,45.4776876460419
1,39,609,8.249,2018,691,10.436,82,2.1869999999999994,13.464696223316913,26.512304521760203
1,40,1008,13.398,2018,1363,18.001,355,4.6030000000000015,35.21825396825397,34.35587401104644
1,41,2186,35.161,2018,3033,49.064,847,13.902999999999999,38.746569075937785,39.54096868689741
1,42,2094,34.125,2018,2316,36.058,222,1.9329999999999998,10.601719197707736,5.664468864468864
1,43,1359,24.427,2018,1628,24.312,269,-0.11499999999999844,19.793966151582048,-0.47079051868833033
1,44,834,11.778,2018,887,12.862,53,1.0839999999999996,6.3549160671462825,9.20359993207675
1,45,1537,23.331,2018,1704,23.108,167,-0.22299999999999898,10.865322055953156,-0.9558098667009515
1,46,1747,29.085,2018,1783,28.75,36,-0.33500000000000085,2.06067544361763,-1.1517964586556673
1,47,1464,25.151,2018,1793,27.288,329,2.1370000000000005,22.472677595628415,8.496680052483004
1,48,951,14.217,2018,1017,15.122,66,0.9049999999999994,6.940063091482649,6.365618625589079
1,49,2357,40.694,2018,2570,39.661,213,-1.0330000000000013,9.03691132795927,-2.5384577579004306
1,50,1284,18.544,2018,1331,17.851,47,-0.6930000000000014,3.6604361370716507,-3.7370578084555723
2,1,1896,31.98,2018,1751,29.112,-145,-2.868000000000002,-7.647679324894514,-8.968105065666048
2,2,0,0.0,2018,0,0.0,0,0.0,,
2,3,2121,38.14,2018,2319,35.377,198,-2.762999999999998,9.335219236209335,-7.244362873623487
2,4,541,7.202,2018,649,9.076,108,1.8740000000000006,19.963031423290204,26.020549847264657
2,5,1977,37.005,2018,1772,34.016,-205,-2.9890000000000043,-10.369246332827517,-8.077286853127967
2,6,1454,22.155,2018,1432,19.677,-22,-2.4780000000000015,-1.5130674002751032,-11.184834123222755
2,7,2632,48.7,2018,2459,45.714,-173,-2.986000000000004,-6.572948328267477,-6.131416837782349
2,8,689,10.642,2018,596,8.354,-93,-2.2880000000000003,-13.497822931785198,-21.499718098101862
2,9,552,8.869,2018,416,5.798,-136,-3.0709999999999997,-24.637681159420293,-34.62622618108016
2,10,1891,32.382,2018,1981,33.923,90,1.541000000000004,4.759386567953464,4.758816626520919
2,11,2413,40.477,2018,2551,44.477,138,4.0,5.719021964359718,9.88215529807051
2,12,1193,20.232,2018,1030,17.227,-163,-3.004999999999999,-13.66303436714166,-14.852708580466583
2,13,1832,28.563,2018,1818,30.014,-14,1.4510000000000005,-0.7641921397379913,5.07999859958688
2,14,345,4.954,2018,433,6.45,88,1.4960000000000004,25.507246376811594,30.197819943480024
2,15,1304,19.618,2018,1218,19.61,-86,-0.007999999999999119,-6.595092024539877,-0.04077887654194678
2,16,714,10.505,2018,881,11.891,167,1.3859999999999992,23.389355742296917,13.193717277486902
2,17,738,10.504,2018,663,11.007,-75,0.5030000000000001,-10.16260162601626,4.78865194211729
2,18,1783,26.994,2018,1977,32.6,194,5.606000000000002,10.880538418395961,20.767577980291925
2,19,1332,21.962,2018,1415,23.25,83,1.2880000000000003,6.231231231231231,5.864675348328933
2,20,1165,15.601,2018,1083,16.948,-82,1.3469999999999995,-7.03862660944206,8.634061919107747
2,21,1065,17.492,2018,948,14.52,-117,-2.9720000000000013,-10.985915492957748,-16.99062428538761
2,22,1380,21.504,2018,1260,21.183,-120,-0.3210000000000015,-8.695652173913043,-1.4927455357142925
2,23,1214,14.092,2018,1143,15.358,-71,1.266,-5.848434925864909,8.983820607436844
2,24,1797,26.788,2018,1701,26.804,-96,0.015999999999998238,-5.342237061769616,0.05972823652381006
2,25,1127,18.621,2018,1003,15.373,-124,-3.2479999999999993,-11.002661934338953,-17.442672251758765
2,26,2618,47.703,2018,2538,46.904,-80,-0.7989999999999995,-3.055767761650115,-1.6749470683185532
2,27,1081,17.865,2018,951,14.592,-130,-3.272999999999998,-12.0259019426457,-18.32073887489504
2,28,1258,16.317,2018,1053,17.063,-205,0.7459999999999987,-16.295707472178062,4.571918857633135
2,29,3130,39.002,2018,3722,38.158,592,-0.8440000000000012,18.91373801916933,-2.1639915901748656
2,30,750,9.705,2018,750,10.617,0,0.9120000000000008,0.0,9.397217928902636
2,31,1497,24.05,2018,1459,23.517,-38,-0.5330000000000013,-2.5384101536406143,-2.216216216216221
2,32,1926,31.841,2018,1685,29.968,-241,-1.873000000000001,-12.512980269989615,-5.882352941176474
2,33,953,12.158,2018,812,12.403,-141,0.245000000000001,-14.795383001049316,2.0151340681033147
2,34,1587,27.907,2018,1308,23.807,-279,-4.100000000000001,-17.580340264650285,-14.69165442362132
2,35,720,11.519,2018,503,8.538,-217,-2.981,-30.138888888888886,-25.878982550568626
2,36,677,10.72,2018,499,7.862,-178,-2.8580000000000005,-26.292466765140325,-26.660447761194035
2,37,1196,15.585,2018,1177,19.114,-19,3.529,-1.588628762541806,22.64356753288418
2,38,2986,35.594,2018,2783,42.758,-203,7.1640000000000015,-6.798392498325518,20.126987694555265
2,39,1611,27.822,2018,1361,26.08,-250,-1.7420000000000009,-15.518311607697083,-6.261232118467404
2,40,1808,26.925,2018,1718,26.609,-90,-0.31599999999999895,-4.977876106194691,-1.1736304549674983
2,41,863,12.253,2018,1045,13.712,182,1.4589999999999996,21.089223638470454,11.90728801109932
2,42,1275,19.638,2018,1161,19.124,-114,-0.5140000000000029,-8.941176470588236,-2.6173744780527692
2,43,2089,36.338,2018,2119,37.843,30,1.5050000000000026,1.4360938247965533,4.141669877263478
2,44,1623,25.584,2018,1331,23.704,-292,-1.879999999999999,-17.991373998767717,-7.348342714196369
2,45,1220,18.92,2018,1360,22.138,140,3.218,11.475409836065573,17.008456659619448
2,46,24,0.242,2018,103,0.807,79,0.5650000000000001,329.16666666666663,233.4710743801653
2,47,1328,21.048,2018,1362,22.548,34,1.5,2.5602409638554215,7.126567844925884
2,48,1517,24.675,2018,1359,23.02,-158,-1.6550000000000011,-10.41529334212261,-6.707193515704159
2,49,1956,31.044,2018,1959,32.722,3,1.6780000000000008,0.15337423312883436,5.405231284628273
2,50,1611,23.979,2018,1485,23.524,-126,-0.4549999999999983,-7.82122905027933,-1.8974936402685612
3,1,784,11.337,2018,1146,10.222,362,-1.1150000000000002,46.1734693877551,-9.835053365087768
3,2,1955,35.029,2018,2422,36.174,467,1.144999999999996,23.88746803069054,3.268720203260144
3,3,0,0.0,2018,0,0.0,0,0.0,,
3,4,2046,36.713,2018,2648,38.756,602,2.0429999999999993,29.423264907135877,5.564786315474081
3,5,436,7.228,2018,900,7.482,464,0.25400000000000045,106.42201834862387,3.514111787493089
3,6,2054,35.195,2018,2977,40.543,923,5.347999999999999,44.936708860759495,15.1953402471942
3,7,1091,18.923,2018,1626,19.267,535,0.3440000000000012,49.03758020164986,1.81789356867305
3,8,1933,33.817,2018,2587,37.939,654,4.122,33.83341955509571,12.189135641836945
3,9,1925,34.589,2018,2416,35.479,491,0.8900000000000006,25.506493506493506,2.573072364046375
3,10,1140,18.747,2018,1599,19.136,459,0.38899999999999935,40.26315789473684,2.074998666453296
3,11,1294,20.834,2018,1681,19.689,387,-1.1449999999999996,29.90726429675425,-5.495824133627722
3,12,1342,25.762,2018,1932,26.698,590,0.9359999999999999,43.96423248882265,3.6332582874000465
3,13,734,12.074,2018,1139,9.729,405,-2.3450000000000006,55.177111716621255,-19.42189829385457
3,14,2055,34.463,2018,2489,34.785,434,0.3219999999999956,21.119221411192214,0.9343353741693863
3,15,2356,40.291,2018,3003,43.512,647,3.2210000000000036,27.46179966044143,7.99434116800279
3,16,1992,33.472,2018,2776,40.514,784,7.042000000000002,39.3574297188755,21.038479923518167
3,17,2210,40.437,2018,2839,42.259,629,1.8220000000000027,28.46153846153846,4.505774414521361
3,18,1351,21.934,2018,1858,22.247,507,0.31299999999999883,37.52775721687639,1.4270082976201277
3,19,1508,25.114,2018,2073,26.763,565,1.649000000000001,37.46684350132626,6.566058771999685
3,20,1495,26.397,2018,2104,27.311,609,0.9140000000000015,40.735785953177256,3.4625146796984563
3,21,1779,31.485,2018,2481,35.385,702,3.8999999999999986,39.46037099494098,12.386850881372077
3,22,1096,19.143,2018,1447,15.253,351,-3.8900000000000006,32.02554744525548,-20.32074387504571
3,23,2691,40.951,2018,3300,47.523,609,6.572000000000003,22.630992196209586,16.048448145344445
3,24,708,8.937,2018,1101,9.157,393,0.22000000000000064,55.50847457627118,2.4616761776882696
3,25,2050,38.033,2018,2735,40.596,685,2.5629999999999953,33.41463414634146,6.738884652801502
3,26,1077,17.926,2018,1705,20.457,628,2.5310000000000024,58.310120705663884,14.119156532411036
3,27,2095,38.789,2018,2694,39.341,599,0.5519999999999996,28.59188544152745,1.4230838639820558
3,28,2611,45.456,2018,3283,51.831,672,6.375,25.737265415549597,14.02455121436114
3,29,3423,45.36,2018,4406,48.787,983,3.4269999999999996,28.717499269646506,7.5551146384479715
3,30,1725,31.409,2018,2397,33.768,672,2.3590000000000018,38.95652173913044,7.510586137731229
3,31,1408,24.414,2018,2143,25.502,735,1.0879999999999974,52.20170454545454,4.456459408536075
3,32,957,12.759,2018,1234,11.758,277,-1.0010000000000012,28.94461859979101,-7.845442432792547
3,33,2740,47.693,2018,3042,47.171,302,-0.5219999999999985,11.021897810218977,-1.094500241125529
3,34,691,11.739,2018,1203,12.733,512,0.9939999999999998,74.09551374819102,8.467501490757302
3,35,1555,28.918,2018,2059,29.915,504,0.9969999999999999,32.41157556270097,3.44767964589529
3,36,1665,29.835,2018,2196,30.886,531,1.0509999999999984,31.891891891891895,3.5227082285905755
3,37,3021,49.508,2018,3406,53.882,385,4.373999999999995,12.744124462098643,8.834935767956683
3,38,4108,56.273,2018,4455,68.162,347,11.889000000000003,8.446932814021421,21.127361256730584
3,39,1038,18.69,2018,1643,19.283,605,0.593,58.285163776493256,3.172819689673622
3,40,762,10.094,2018,1153,9.582,391,-0.5119999999999987,51.31233595800525,-5.072320190211994
3,41,2119,34.975,2018,2824,40.648,705,5.673000000000002,33.270410571024065,16.220157255182276
3,42,2327,40.311,2018,2946,43.104,619,2.7929999999999993,26.60077352814783,6.928629902507999
3,43,903,15.548,2018,1419,15.894,516,0.3460000000000001,57.14285714285714,2.22536660663751
3,44,1292,17.516,2018,1838,21.709,546,4.193000000000001,42.26006191950464,23.93811372459467
3,45,1417,22.215,2018,2223,31.409,806,9.193999999999999,56.88073394495413,41.386450596443844
3,46,1980,35.271,2018,2413,35.797,433,0.5259999999999962,21.86868686868687,1.4913101414759895
3,47,1008,16.272,2018,1583,18.872,575,2.6000000000000014,57.04365079365079,15.978367748279263
3,48,1518,23.718,2018,1968,23.969,450,0.2510000000000012,29.64426877470356,1.058267982123287
3,49,1901,31.815,2018,2360,31.245,459,-0.5700000000000003,24.145186743819043,-1.7916077322017925
3,50,970,15.195,2018,1339,12.476,369,-2.7189999999999994,38.04123711340206,-17.89404409345179
4,1,1774,29.641,2018,1977,31.223,203,1.5820000000000007,11.443066516347237,5.33720184879053
4,2,503,6.32,2018,480,6.041,-23,-0.2789999999999999,-4.572564612326044,-4.414556962025315
4,3,1999,35.801,2018,2544,37.488,545,1.6869999999999976,27.263631815907953,4.712158878243618
4,4,0,0.0,2018,0,0.0,0,0.0,,
4,5,1855,34.666,2018,1997,36.127,142,1.4610000000000056,7.654986522911051,4.214504125079345
