id,lat,lon,snap_m
1,10.831034,106.558752,2.58
2,10.863192,106.786727,21.64
3,10.759358,106.560496,15.59
4,10.88613,106.79427,24.85
5,10.732596,106.604499,35.95
6,10.935896,106.66785,4.9
7,10.650637,106.583848,3.45
8,10.899731,106.761334,7.21
9,10.893553,106.76639,19.52
10,10.695184,106.651368,9.32
11,10.646333,106.631478,0.22
12,10.829773,106.677492,21.76
13,10.742086,106.623323,8.21
14,10.834104,106.763149,28.52
15,10.946859,106.773966,35.36
16,10.804026,106.789624,25.88
17,10.89815,106.821754,16.85
18,10.724058,106.643669,6.38
19,10.909071,106.659965,23.74
20,10.836379,106.688394,12.6
21,10.92174,106.710535,9.65
22,10.805117,106.641815,21.75
23,10.812939,106.864113,13.95
24,10.751968,106.627044,35.88
25,10.949098,106.728347,10.04
26,10.650017,106.566426,7.32
27,10.948709,106.735456,29.06
28,10.94034,106.850966,35.9
29,10.623551,106.802519,39.32
30,10.844885,106.737937,8.84
31,10.908953,106.642233,10.11
32,10.785193,106.612539,1.19
33,10.921266,106.854783,15.61
34,10.820909,106.603595,12.44
35,10.871705,106.738773,8.56
36,10.877014,106.735846,25.39
37,10.909693,106.881434,5.58
38,10.642989,106.816461,31.97
39,10.872696,106.594895,5.63
40,10.759856,106.624334,33.18
41,10.798014,106.805504,5.99
42,10.948372,106.777541,9.63
43,10.690717,106.596304,2.17
44,10.886497,106.616547,10.84
45,10.759619,106.71336,20.98
46,10.860594,106.785676,0.21
47,10.753003,106.668675,17.71
48,10.904399,106.63714,13.13
49,10.682772,106.707009,0.71
50,10.759242,106.647393,10.94
